url,recipe_name,rating,number_of_ratings,prep_time,cook_time,instructions,serving_count,protein,fiber,calories,fat,carbohydrates,sodium
https://www.budgetbytes.com/15-minute-vegetable-curry/,15-Minute Vegetable Curry,4.73,33,5 minutes,10 minutes,"1. Add the frozen vegetables and broth to a soup pot (it's okay if the broth does not fully cover the vegetables). Place a lid on top and turn the heat on to high. Bring the broth up to a boil.
2. Give the vegetables a good stir, turn the heat down to low, then add the coconut milk, curry powder, and ginger. Stir to combine, then let simmer for just a few more minutes.
3. Taste the broth and add salt and pepper to your liking.
4. Serve hot with bread or rice.",5,5,6,97,1,20,448
https://www.budgetbytes.com/20-minute-creamy-spinach-artichoke-pasta/,20 Minute Creamy Spinach Artichoke Pasta,4.36,56,5 minutes,15 minutes,"1. Mince the garlic and add it to a deep skillet with the butter. Sauté the garlic in the butter over medium heat for one to two minutes, or just until it’s tender and fragrant.
2. Add the chicken broth, milk, salt, some freshly cracked pepper, and the pasta to the skillet (break the pasta in half first for easy stirring). Make sure the pasta is fully submerged, then place a lid on the skillet. Allow the skillet to come to a simmer, then immediately turn the heat down to low.
3. Allow the pasta to simmer in the liquid for about 12 minutes, or until it’s al dente. Stir the pasta every few minutes to make sure it doesn’t stick to the bottom. Adjust the heat if needed to make sure the liquid maintains a gentle simmer. While the pasta is simmering, drain the artichoke hearts and then roughly chop them into slightly smaller pieces.
4. Once the pasta is tender, turn off the heat. The sauce may still be slightly thin, but it will continue to thicken and absorb as the rest of the ingredients are added. Add the spinach, a handful at a time, to the hot pasta and sauce and toss it in the pasta until it wilts.
5. Stir the chopped artichoke hearts into the pasta. Sprinkle 2 Tbsp of grated Parmesan over the pasta, then stir slightly to incorporate the Parmesan. Top with an additional 2 Tbsp of Parmesan then serve.",4,14.83,6.53,369.63,11.1,54.6,1079.75
https://www.budgetbytes.com/20-minute-honey-mustard-chicken/,20 Minute Honey Mustard Chicken,4.88,41,5 minutes,15 minutes,"1. Heat a large skillet over medium flame. While the skillet is preheating, combine the smoked paprika, garlic powder, and salt in a small dish. Sprinkle the spice mixture over both sides of your chicken pieces.
2. Once the skillet is nice and hot, add the cooking oil and swirl to coat the surface. Add the chicken pieces and cook on each side until well browned and cooked through (about 5 minutes each side, this can vary with your cookware and size of your chicken pieces). Transfer the cooked chicken to a clean plate.
3. Add the chicken broth to the skillet and stir to dissolve the browned bits from the bottom of the skillet. Allow the broth to simmer in the skillet for about 5 minutes, or until it has reduced by half.
4. Finally, add the mustard, honey, and butter to the skillet. Stir to melt and dissolve the ingredients together. Add the chicken and juices back to the skillet, and allow the sauce to come back up to a simmer. Spoon the honey mustard sauce over top, then serve.",4,38.28,0.05,299.65,10.7,8.93,589
https://www.budgetbytes.com/30-minute-posole/,Easy 30 minute Posole,4.88,77,5 minutes,25 minutes,"1. Finely dice the onion, then add it to a large soup pot along with the cooking oil. Sauté the onion in the oil over medium heat for 3-5 minutes, or until it is tender and transparent. Add the flour and chili powder and continue to sauté for two minutes more. The mixture will be fairly dry, so stir continuously to prevent burning.
2. Add 2 cups water, tomato paste, cumin, garlic powder, cayenne pepper, and salt to the pot. Whisk the ingredients together until the tomato paste is dissolved. Allow the mixture to come to a simmer, at which point it will thicken.
3. Finally, add the chicken broth, shredded meat, diced chiles, and hominy (drained). Stir to combine and then heat through (about 10 minutes).
4. Cut the lime into wedges and roughly chop the cilantro. Top each bowl with chopped cilantro and a wedge of lime to squeeze over top.",6,12.08,2.5,177.08,7.23,17.2,1277.27
https://www.budgetbytes.com/34-ways-use-leftover-spinach/,Quick Veggie Pasta,4.86,14,10 minutes,15 minutes,"1. Bring a large pot of water to a boil for the pasta. Once boiling, add the pasta and continue to boil until the pasta is tender (about 7 minutes). Reserve a 1/2 cup of the pasta water, then drain the pasta in a colander.
2. While waiting for the water to boil, slice the mushrooms and cut the tomatoes in half.
3. Heat the cooking oil in a large skillet over medium heat. Add the mushrooms and a pinch of salt to the skillet and sauté until they have released all of their moisture and water is no longer pooling on the bottom of the skillet (about 5-7 minutes).
4. Add the tomatoes and sauté for about two minutes more, or just until they're heated through (they'll continue to cook more after other ingredients are added). Add the spinach and sauté just until wilted.
5. Finally, add the cooked and drained pasta to the skillet along with the butter. Toss until everything is coated in melted butter. Turn the heat off.
6. Season with garlic powder, nutritional yeast, salt, and pepper, then toss to coat. Give the pasta a taste and adjust the seasonings to your liking. If the pasta gets too dry as you're tossing with the seasoning, just add a splash of the reserved pasta water. Serve immediately and enjoy.",4,11,4,301,8,48,200
https://www.budgetbytes.com/5-minute-nacho-cheese-sauce/,5 Minute Nacho Cheese Sauce,4.16,260,NA,5 minutes,"1. Add the butter and flour to a small sauce pot. Heat and whisk the butter and flour together until they become bubbly and foamy. Continue to cook and whisk the bubbly mixture for about 60 seconds.
2. Whisk the milk into the flour and butter mixture. Turn the heat up slightly and allow the milk to come to a simmer while whisking. When it reaches a simmer, the mixture will thicken. Once it’s thick enough to coat a spoon, turn off the heat.
3. Stir in the shredded cheddar, one handful at a time, until melted into the sauce. If needed, place the pot over a low flame to help the cheese melt. Do not overheat the cheese sauce.
4. Once all the cheese is melted into the sauce, stir in the salt and chili powder. Taste and adjust the seasoning as needed. If the sauce becomes too thick, simply whisk in an additional splash of milk.",6,8.13,0.32,183.1,14.65,4.92,337.23
https://www.budgetbytes.com/african-peanut-stew-vegan/,Vegan Peanut Stew,4.87,225,10 minutes,45 minutes,"1. Peel and grate the ginger using a small holed cheese grater. Mince the garlic, and dice the onion. Sauté the onion, ginger, and garlic in a large pot with the olive oil over medium heat for 2-3 minutes, or until the onion becomes soft and translucent.
2. While the onion, ginger, and garlic are sautéing, peel and dice the sweet potato into 1/2-inch cubes. Add the sweet potato cubes, cumin, and red pepper to the pot and continue to sauté for about 5 minutes.
3. Add the tomato paste, peanut butter, and vegetable broth to the pot. Stir until the peanut butter and tomato paste have mostly dissolved into the broth. Place a lid on the pot and turn the heat up to high. Allow the stew to come up to a boil. Once it reaches a boil, turn the heat down to medium-low and allow it to simmer for 15-20 minutes, or until the sweet potatoes are very soft.
4. While the soup is simmering, prepare the collard greens. Use a sharp knife to remove each stem (cut along the side of each stem), then stack the leaves and cut them into 1/2-inch wide strips. Place the chopped collard greens in a colander and rinse very well
5. Once the stew has simmered for 15-20 minutes and the sweet potatoes are very soft, stir in the collard greens. Let the stew simmer for about 5 minutes more, then begin to smash the sweet potatoes against the side of the pot to help thicken the stew.
6. Finally, taste the stew and add salt or red pepper, if desired. Serve the stew with a scoop of cooked rice (about 3/4 cup), a few chopped peanuts, fresh cilantro, and a drizzle of sriracha, if desired.",6,14.7,9.45,467.9,19.62,63.43,1341.67
https://www.budgetbytes.com/all-edge-spiced-brownies/,“All-Edge” Warm and Spicy Brownies,4.89,17,10 minutes,20 minutes,"1. Preheat the oven to 375ºF. Coat the inside of 6 cups of a muffin tin with butter.
2. In a mixing bowl, stir together the flour, cocoa powder, sugar, salt, cayenne, baking powder, and cinnamon until evenly combined.
3. Cut the butter into chunks, then microwave until melted (about 30 seconds). Let the butter cool slightly while you add the eggs and vanilla to the bowl with the dry ingredients (don't stir them in just yet). Finally, pour the melted butter into the bowl and then stir until a thick, even brownie batter has formed.
4. Divide the batter between the greased cups, then bake for 20 minutes, or until the centers are puffed and the edges are browned. Remove the brownies from the oven and allow to cool (or eat warm!).",6,4.17,2.13,270.55,10.87,42.25,146.12
https://www.budgetbytes.com/almond-apricot-biscotti/,Almond Apricot Biscotti,4.93,14,15 minutes,45 minutes,"1. Preheat the oven to 350ºF. In a medium bowl, stir together the flour, baking powder, and salt until evenly mixed.
2. In a large bowl, beat together the sugar, butter, eggs, vanilla extract, almond extract, and nutmeg until the mixture is light and creamy in appearance.
3. Pour the dry ingredients into the bowl of wet ingredients and stir until a soft dough forms.
4. Chop the apricots into small pieces. Add the chopped apricots and sliced almonds to the bowl with the dough, then stir until they are mixed in. Save a few pieces of almond to press into the top of the biscotti.
5. Line a baking sheet with parchment paper. Divide the dough into two equal pieces, then shape each into a flattened log, about 3 inches wide and 12 inches long. Place the logs a few inches apart on the baking sheet. Press a few pieces of almonds into the top of the dough for decoration. Bake the biscotti logs for 35 minutes in the preheated oven, or just until the edges turn golden and the top has a few cracks.
6. Remove the biscotti from the oven, but don’t turn it off. Let the biscotti cool for about five minutes, then carefully transfer them to a cutting board. Use a serrated knife to cut the biscotti, on an angle, into 3/4-inch wide slices. Place the slices on back on the baking sheet, cut sides up.
7. Bake the sliced biscotti for about five more minutes, then flip and bake for five minutes on the second side. Allow the biscotti to cool completely before serving or packing in an air-tight container.",28,1.64,0.64,90.65,2.65,14.86,53.49
https://www.budgetbytes.com/almond-dutch-baby-with-ricotta-and-jam/,Almond Dutch Baby with Ricotta and Jam,4.92,12,20 minutes,20 minutes,"1. Prepare the batter first, so it has some time to come up to room temperature. In a blender, combine the eggs, milk, flour, sugar, salt, almond extract and vanilla extract. Blend until completely smooth and no lumps remain. Let the batter sit at room temperature to warm.
2. Place a 10-inch cast iron skillet in the oven and begin preheating to 425ºF. Let the skillet heat in the oven for an additional 10 minutes once the oven reaches the set temperature.
3. Carefully remove the skillet from the oven and add the butter. Swirl the butter in the skillet and place it back in the oven for one minute. After one minute the butter should be beginning to brown.
4. Carefully remove the skillet from the oven again and spread the butter evenly across the bottom and up the sides of the skillet (I used a silicone brush for this). Pour the prepared batter into the hot skillet and sprinkle the sliced almonds over top.
5. Return the hot skillet to the hot oven and bake for 20 minutes, or until it is golden brown and has puffed along the edges and in the center.
6. While the Dutch baby is in the oven, combine the remaining 1/2 Tbsp of sugar with the ricotta. Once the Dutch baby has finished baking, either add a dollop of the sweetened ricotta to the whole pancake and top with jam for presentation, or slice the pancake into four pieces and add 2 Tbsp sweetened ricotta and 1 Tbsp jam to each piece.",4,12,1.18,339.8,15.2,35.23,287.05
