rowid,ingredient
2801,1/2 bunch parsley (about 1 cup chopped)
2802,"2 boneless, skinless chicken breasts (about 1/2 lb. each) OR two 15 oz. cans chickpeas"
2803,pepper
2804,1/2 cup ranch dressing
2805,1.75 cups water
2806,4 cups fresh spinach
2807,1/2 cup hummus
2808,8 Tbsp cold butter (salted)
2809,1.5 lbs. potatoes*
2810,"1 handful parsley, chopped (optional)"
2811,"1 yellow onion, divided"
2812,"2 Tbsp Worcestershire sauce, divided"
2813,1.5 cups beef broth*
2814,3 cups* (packed) shredded sweetened coconut
2815,2/3 cup granulated sugar
2816,4 large egg whites
2817,Zest from one large orange
2818,3 oz semi-sweet chocolate
2819,1/4 tsp coconut oil**
2820,1 cup uncooked long grain white rice
2821,2 chicken breasts (about 1.5 lbs. total)
2822,1 cup brown rice
2823,1.75 cup water
2824,"2 boneless, skinless chicken breasts (about 1.3 lbs. total)"
2825,16 oz. salsa
2826,1 tsp chili powder**
2827,3 bell peppers
2828,1 Tbsp oil
2829,4 Tbsp sour cream
2830,2 lbs small red potatoes
2831,1 cup white vinegar
2832,"2 tsp Kosher Salt, divided"
2833,1 Tbsp chopped chives (optional)
2834,1 small clove garlic
2835,1/8 tsp Kosher Salt
2836,3 oz tomato paste (1/2 6 oz. can)
2837,2 tsp cumin
2838,3 lb boneless beef rump or shoulder roast
2839,1/2 tsp salt (optional)
2840,1 lb. Italian sausage
2841,1/2 lb. frozen peppers and onions
2842,1/4 lb. frozen kale
2843,½ tsp seasoning salt or seasoning blend (or to taste)
2844,14 oz. smoked sausage
2845,3 bell peppers (any color)
2846,"1 lb red potatoes, quartered"
2847,"3/4 cup olive oil, divided"
2848,"3 1/2 tsp kosher salt, divided"
2849,1 pint cherry or grape tomatoes
2850,1 lb Italian Ground Sausage
