food_name,query,alternate_query_inbox,kroger_upc,product_grams,product_uri,product_local_price,product_categories,product_sold_by_unit
light mayonnaise,light mayonnaise,,1111000780.0,850.5,/p/kroger-light-mayo/0001111000780?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.99,Condiment & Sauces,30 fl oz
apple cider vinegar,apple cider vinegar,,1111086203.0,3823.26,/p/kroger-apple-cider-vinegar/0001111086203?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.49,Baking Goods,1 gal
honey,honey,,1111012497.0,1133.98,/p/kroger-clover-honey-twin-pack/0001111012497?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,23.99,Condiment & Sauces,2 ct / 40 oz
broccoli florets,broccoli florets,,1111079549.0,907.184,/p/kroger-broccoli-florets-big-deal-/0001111079549?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.49,Produce,32 oz
dried cranberries,dried cranberries,,1111012696.0,907.184,/p/kroger-dried-cranberries/0001111012696?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,8.99,Snacks,32 oz
raw sunflower seeds,raw sunflower seeds,,,,,,,
broccoli,broccoli,,3082.0,453.592,/p/broccoli-crowns/0000000003082?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,Produce,1 lb
sesame oil,sesame oil,,1111090121.0,204.0,/p/kroger-pure-sesame-oil/0001111090121?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.99,"International, Baking Goods",7.5 fl oz
sambal,sambal,,2446306107.0,226.796,/p/huy-fong-sambal-oelek-chili-paste/0002446306107?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.49,International,8 oz
brown sugar,brown sugar,,1111085585.0,907.184,/p/kroger-light-brown-sugar/0001111085585?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.59,Baking Goods,32 oz
garlic,garlic,,4608.0,50.0,/p/garlic/0000000004608?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.5,Produce,1 ct
salt,salt,,1111004807.0,737.087,/p/kroger-salt/0001111004807?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.79,Baking Goods,26 oz
pasta,pasta,,1111085004.0,453.592,/p/kroger-spaghetti-pasta/0001111085004?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.33,"Pasta, Sauces, Grain",16 oz
frozen broccoli florets,frozen broccoli florets,,1111004973.0,1474.174,/p/kroger-traditional-favorites-frozen-broccoli-florets-big-deal-/0001111004973?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,6.29,Frozen,52 oz
onion,onion,,1111091682.0,1360.776,/p/kroger-yellow-onions-in-3lb-bag/0001111091682?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.79,Produce,3 lb
all-purpose flour,all-purpose flour,,1111085402.0,2267.96,/p/kroger-bleached-all-purpose-enriched-flour/0001111085402?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,2.69,Baking Goods,5 lb
milk,milk,,1111050240.0,3899.0,/p/king-soopers-city-market-vitamin-d-whole-milk-gallon/0001111050240?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.79,Dairy,1 gal
shredded sharp cheddar,shredded sharp cheddar,,1111059671.0,907.184,/p/kroger-sharp-cheddar-shredded-cheese/0001111059671?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,7.99,Dairy,32 oz
grated parmesan,grated parmesan,,1111058033.0,226.796,/p/kroger-100-parmesan-grated-cheese/0001111058033?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,3.39,"Dairy, Pasta, Sauces, Grain",8 oz
Dijon mustard,Dijon mustard,,1111081088.0,340.194,/p/kroger-dijon-mustard/0001111081088?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,1.79,Condiment & Sauces,12 oz
button mushrooms,button mushrooms,,1111091489.0,453.592,/p/kroger-sliced-white-mushrooms/0001111091489?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,4.49,Produce,16 oz
green bell pepper,green bell pepper,,4065.0,164.0,/p/fresh-large-green-bell-pepper/0000000004065?cid=dis.api.tpi_products-api_20240521_b:all_c:p_t:thalosfoodresearch-f,0.89,Produce,1 ct
