rowid,query,grams
651,light mayonnaise,60.0
652,apple cider vinegar,15.0
653,honey,21.0
654,broccoli florets,340.0
655,dried cranberries,40.0
656,raw sunflower seeds,35.0
657,broccoli,794.0
658,sesame oil,4.5
659,sambal,22.5
660,brown sugar,4.0
661,garlic,5.0
662,salt,1.0
663,pasta,227.0
664,frozen broccoli florets,227.0
665,onion,80.0
666,all-purpose flour,24.0
667,milk,610.0
668,shredded sharp cheddar,226.0
669,grated parmesan,25.0
670,salt,2.0
671,Dijon mustard,15.0
672,button mushrooms,227.0
673,green bell pepper,120.0
674,grape tomatoes,113.0
675,yellow onion,110.0
676,long grain white rice,285.0
677,water,591.0
678,fresh parsley,30.0
679,lemon,5.0
680,bacon,60.0
681,mayonnaise,115.0
682,chipotle chili powder,1.0
683,brioche buns,240.0
684,eggs,200.0
685,tomato,180.0
686,lettuce,500.0
687,black pepper,1.0
688,Roma tomatoes,480.0
689,penne pasta,340.0
690,fresh basil,12.0
691,butter,28.0
692,hot sauce,45.0
693,smoked paprika,0.3
694,garlic powder,0.2
695,tempeh,227.0
696,coleslaw mix,227.0
697,hoagie rolls,180.0
698,avocado,150.0
699,ground pork,454.0
700,garlic,9.0
